cell_type	gene_symbol	ensembl_id	rank	score	pct_expressed	pct_others	p_val_adj	gene_biotype
Bergmann glia cell	PDLIM3	ENSG00000154553	26	4.08274039147184	0.78	0.084	0.0	protein_coding
Bergmann glia cell	PCSK6	ENSG00000140479	27	4.05286944958413	0.862	0.166	0.0	protein_coding
Bergmann glia cell	SLC1A3	ENSG00000079215	28	4.01330789889837	1.0	0.285	0.0	protein_coding
Bergmann glia cell	TTPA	ENSG00000137561	29	3.97477310639197	0.449	0.054	0.0	protein_coding
Bergmann glia cell	TSPAN11	ENSG00000110900	30	3.9624234549174	0.426	0.06	0.0	protein_coding
Bergmann glia cell	FXYD1	ENSG00000266964	31	3.94608076913187	0.646	0.109	0.0	protein_coding
Bergmann glia cell	IL33	ENSG00000137033	32	3.93156954732337	0.273	0.023	0.0	protein_coding
Bergmann glia cell	RGS20	ENSG00000147509	33	3.90331482845106	0.767	0.171	0.0	protein_coding
Bergmann glia cell	TENT5A	ENSG00000112773	34	3.84776668111509	0.633	0.091	0.0	protein_coding
Bergmann glia cell	PHYHD1	ENSG00000175287	35	3.82114142729496	0.268	0.035	6.16090901887004e-294	protein_coding
Bergmann glia cell	COL23A1	ENSG00000050767	36	3.79327017692956	0.612	0.159	0.0	protein_coding
Bergmann glia cell	FREM2	ENSG00000150893	37	3.73599976423775	0.389	0.064	0.0	protein_coding
Bergmann glia cell	CYP2J2	ENSG00000134716	38	3.72497835172361	0.451	0.053	0.0	protein_coding
Bergmann glia cell	MSX2	ENSG00000120149	39	3.69673338892517	0.26	0.02	0.0	protein_coding
Bergmann glia cell	RGCC	ENSG00000102760	40	3.67130380213214	0.79	0.106	0.0	protein_coding
Bergmann glia cell	ENSG00000249240	ENSG00000249240	41	3.60194608980633	0.255	0.031	4.55646210606712e-294	protein_coding
Bergmann glia cell	HEPN1	ENSG00000221932	42	3.59480374112026	0.653	0.061	0.0	protein_coding
Bergmann glia cell	MAP2K6	ENSG00000108984	43	3.56998710574446	0.876	0.345	0.0	protein_coding
Bergmann glia cell	VIT	ENSG00000205221	44	3.56311156432636	0.42	0.029	0.0	protein_coding
