protein1	protein2	relation
ASPM	KNL1	INTERACTS_WITH
ASPM	MAD2L1	INTERACTS_WITH
ASPM	MCM10	INTERACTS_WITH
ASPM	MELK	INTERACTS_WITH
ASPM	MKI67	INTERACTS_WITH
ASPM	NCAPG	INTERACTS_WITH
ASPM	NDC80	INTERACTS_WITH
ASPM	NUSAP1	INTERACTS_WITH
ASPM	PBK	INTERACTS_WITH
ASPM	PTTG1	INTERACTS_WITH
ASPM	RRM2	INTERACTS_WITH
ASPM	SGO1	INTERACTS_WITH
ASPM	TOP2A	INTERACTS_WITH
ASPM	TPX2	INTERACTS_WITH
ASPM	TROAP	INTERACTS_WITH
ASPM	TTK	INTERACTS_WITH
ASPM	TYMS	INTERACTS_WITH
ASPM	UBE2C	INTERACTS_WITH
ASPN	COL1A1	INTERACTS_WITH
ASPN	COL1A2	INTERACTS_WITH
ASPN	COL3A1	INTERACTS_WITH
ASPN	MATN3	INTERACTS_WITH
ASPN	OGN	INTERACTS_WITH
ASPN	OMD	INTERACTS_WITH
ASPN	POSTN	INTERACTS_WITH
ATP10A	ATP10B	INTERACTS_WITH
ATP1A2	FXYD1	INTERACTS_WITH
ATP1A2	PLN	INTERACTS_WITH
AURKB	BIRC5	INTERACTS_WITH
AURKB	BUB1	INTERACTS_WITH
AURKB	CCNB1	INTERACTS_WITH
AURKB	CCNB2	INTERACTS_WITH
AURKB	CDC20	INTERACTS_WITH
AURKB	CDC25C	INTERACTS_WITH
AURKB	CDC45	INTERACTS_WITH
AURKB	CDCA2	INTERACTS_WITH
AURKB	CDCA5	INTERACTS_WITH
AURKB	CDK1	INTERACTS_WITH
AURKB	CENPF	INTERACTS_WITH
AURKB	CENPM	INTERACTS_WITH
AURKB	CENPU	INTERACTS_WITH
AURKB	CEP55	INTERACTS_WITH
AURKB	CKAP2L	INTERACTS_WITH
AURKB	CKS2	INTERACTS_WITH
AURKB	DLGAP5	INTERACTS_WITH
AURKB	EXO1	INTERACTS_WITH
AURKB	GTSE1	INTERACTS_WITH
AURKB	H2BC21	INTERACTS_WITH
AURKB	HJURP	INTERACTS_WITH
AURKB	KIF14	INTERACTS_WITH
AURKB	KIF18B	INTERACTS_WITH
AURKB	KIFC1	INTERACTS_WITH
AURKB	KNL1	INTERACTS_WITH
AURKB	MAD2L1	INTERACTS_WITH
AURKB	MCM10	INTERACTS_WITH
AURKB	MCM2	INTERACTS_WITH
AURKB	MCM5	INTERACTS_WITH
AURKB	MELK	INTERACTS_WITH
AURKB	MKI67	INTERACTS_WITH
AURKB	MYBL2	INTERACTS_WITH
AURKB	NCAPG	INTERACTS_WITH
AURKB	NDC80	INTERACTS_WITH
AURKB	NUSAP1	INTERACTS_WITH
AURKB	PBK	INTERACTS_WITH
AURKB	PIMREG	INTERACTS_WITH
AURKB	PTTG1	INTERACTS_WITH
AURKB	RRM2	INTERACTS_WITH
AURKB	SGO1	INTERACTS_WITH
AURKB	TOP2A	INTERACTS_WITH
AURKB	TPX2	INTERACTS_WITH
AURKB	TROAP	INTERACTS_WITH
AURKB	TTK	INTERACTS_WITH
AURKB	TYMS	INTERACTS_WITH
AURKB	UBE2C	INTERACTS_WITH
B3GAT2	HPGDS	INTERACTS_WITH
B4GALNT3	CHST8	INTERACTS_WITH
B4GALNT3	CHST9	INTERACTS_WITH
BBOX1	TRIM36	INTERACTS_WITH
BBOX1	TRIM54	INTERACTS_WITH
BBOX1	TRIM67	INTERACTS_WITH
BCAN	BGN	INTERACTS_WITH
BCAN	CSPG4	INTERACTS_WITH
BCAN	CSPG5	INTERACTS_WITH
BCAN	DCN	INTERACTS_WITH
BCAN	PTPRZ1	INTERACTS_WITH
BCAN	VCAN	INTERACTS_WITH
BCAS1	PLP1	INTERACTS_WITH
BDNF	CNR1	INTERACTS_WITH
BDNF	CRH	INTERACTS_WITH
BDNF	CSF1R	INTERACTS_WITH
BDNF	DRD1	INTERACTS_WITH
BDNF	DRD2	INTERACTS_WITH
BDNF	DRD3	INTERACTS_WITH
BDNF	ERBB3	INTERACTS_WITH
BDNF	ERBB4	INTERACTS_WITH
BDNF	FGF5	INTERACTS_WITH
BDNF	FGFR3	INTERACTS_WITH
BDNF	FLT1	INTERACTS_WITH
BDNF	GAD2	INTERACTS_WITH
BDNF	GFAP	INTERACTS_WITH
BDNF	GFRA1	INTERACTS_WITH
BDNF	GRIA1	INTERACTS_WITH
BDNF	HTR2A	INTERACTS_WITH
BDNF	IGF1	INTERACTS_WITH
BDNF	KIT	INTERACTS_WITH
BDNF	MET	INTERACTS_WITH
BDNF	NES	INTERACTS_WITH
BDNF	NGFR	INTERACTS_WITH
BDNF	NRG1	INTERACTS_WITH
BDNF	NTF3	INTERACTS_WITH
BDNF	PDGFRA	INTERACTS_WITH
BDNF	PDGFRB	INTERACTS_WITH
BDNF	PVALB	INTERACTS_WITH
BDNF	SST	INTERACTS_WITH
BDNF	TAC1	INTERACTS_WITH
BGN	CD44	INTERACTS_WITH
BGN	COL12A1	INTERACTS_WITH
BGN	COL1A1	INTERACTS_WITH
BGN	COL1A2	INTERACTS_WITH
BGN	COL3A1	INTERACTS_WITH
BGN	COL4A1	INTERACTS_WITH
BGN	COL5A2	INTERACTS_WITH
BGN	COL6A3	INTERACTS_WITH
BGN	DCN	INTERACTS_WITH
BGN	FBLN2	INTERACTS_WITH
BGN	FMOD	INTERACTS_WITH
BGN	LUM	INTERACTS_WITH
BGN	MMP2	INTERACTS_WITH
BGN	PCOLCE	INTERACTS_WITH
BGN	POSTN	INTERACTS_WITH
BGN	SDC1	INTERACTS_WITH
BGN	SDC4	INTERACTS_WITH
BGN	SGCG	INTERACTS_WITH
BGN	TGFBI	INTERACTS_WITH
BGN	TLR2	INTERACTS_WITH
BGN	VCAN	INTERACTS_WITH
BHLHE22	PRDM8	INTERACTS_WITH
BIRC5	BUB1	INTERACTS_WITH
BIRC5	CCNB1	INTERACTS_WITH
BIRC5	CCNB2	INTERACTS_WITH
BIRC5	CDC20	INTERACTS_WITH
BIRC5	CDC25C	INTERACTS_WITH
BIRC5	CDC45	INTERACTS_WITH
BIRC5	CDCA5	INTERACTS_WITH
BIRC5	CDK1	INTERACTS_WITH
BIRC5	CENPF	INTERACTS_WITH
BIRC5	CENPM	INTERACTS_WITH
BIRC5	CEP55	INTERACTS_WITH
BIRC5	CKS2	INTERACTS_WITH
BIRC5	DLGAP5	INTERACTS_WITH
BIRC5	EXO1	INTERACTS_WITH
BIRC5	GTSE1	INTERACTS_WITH
BIRC5	HJURP	INTERACTS_WITH
BIRC5	KIF14	INTERACTS_WITH
BIRC5	KIF18B	INTERACTS_WITH
BIRC5	KIFC1	INTERACTS_WITH
BIRC5	KPNA2	INTERACTS_WITH
BIRC5	MAD2L1	INTERACTS_WITH
BIRC5	MELK	INTERACTS_WITH
BIRC5	MKI67	INTERACTS_WITH
BIRC5	MYBL2	INTERACTS_WITH
BIRC5	NCAPG	INTERACTS_WITH
BIRC5	NDC80	INTERACTS_WITH
BIRC5	NEIL3	INTERACTS_WITH
BIRC5	NUSAP1	INTERACTS_WITH
BIRC5	PBK	INTERACTS_WITH
BIRC5	PTTG1	INTERACTS_WITH
BIRC5	RRM2	INTERACTS_WITH
BIRC5	SGO1	INTERACTS_WITH
BIRC5	TOP2A	INTERACTS_WITH
BIRC5	TPX2	INTERACTS_WITH
BIRC5	TROAP	INTERACTS_WITH
BIRC5	TTK	INTERACTS_WITH
BIRC5	TYMS	INTERACTS_WITH
BIRC5	UBE2C	INTERACTS_WITH
BIRC5	UHRF1	INTERACTS_WITH
BLM	CDC45	INTERACTS_WITH
BLM	EXO1	INTERACTS_WITH
BLM	RMI2	INTERACTS_WITH
BLM	TOP2A	INTERACTS_WITH
BMP5	BMPR1B	INTERACTS_WITH
BMP5	FST	INTERACTS_WITH
BMP5	GREM2	INTERACTS_WITH
BTC	ERBB3	INTERACTS_WITH
BTC	ERBB4	INTERACTS_WITH
BTC	NRG1	INTERACTS_WITH
BTC	TGFA	INTERACTS_WITH
BUB1	CCNB1	INTERACTS_WITH
BUB1	CCNB2	INTERACTS_WITH
BUB1	CDC20	INTERACTS_WITH
BUB1	CDC25C	INTERACTS_WITH
BUB1	CDC45	INTERACTS_WITH
BUB1	CDCA2	INTERACTS_WITH
BUB1	CDCA5	INTERACTS_WITH
BUB1	CDK1	INTERACTS_WITH
BUB1	CENPF	INTERACTS_WITH
BUB1	CENPH	INTERACTS_WITH
BUB1	CENPM	INTERACTS_WITH
BUB1	CENPU	INTERACTS_WITH
BUB1	CEP55	INTERACTS_WITH
BUB1	CKAP2L	INTERACTS_WITH
BUB1	CKS1B	INTERACTS_WITH
BUB1	CKS2	INTERACTS_WITH
BUB1	DLGAP5	INTERACTS_WITH
BUB1	DTL	INTERACTS_WITH
BUB1	ESCO2	INTERACTS_WITH
BUB1	EXO1	INTERACTS_WITH
BUB1	HJURP	INTERACTS_WITH
BUB1	KIF14	INTERACTS_WITH
BUB1	KIF18B	INTERACTS_WITH
BUB1	KIFC1	INTERACTS_WITH
BUB1	KNL1	INTERACTS_WITH
BUB1	MAD2L1	INTERACTS_WITH
BUB1	MCM5	INTERACTS_WITH
BUB1	MELK	INTERACTS_WITH
BUB1	MKI67	INTERACTS_WITH
BUB1	MYBL2	INTERACTS_WITH
BUB1	NCAPG	INTERACTS_WITH
BUB1	NDC80	INTERACTS_WITH
BUB1	NUSAP1	INTERACTS_WITH
BUB1	PBK	INTERACTS_WITH
BUB1	PIMREG	INTERACTS_WITH
BUB1	PTTG1	INTERACTS_WITH
BUB1	RRM2	INTERACTS_WITH
BUB1	SGO1	INTERACTS_WITH
BUB1	TOP2A	INTERACTS_WITH
BUB1	TPX2	INTERACTS_WITH
BUB1	TROAP	INTERACTS_WITH
BUB1	TTK	INTERACTS_WITH
BUB1	TYMS	INTERACTS_WITH
BUB1	UBE2C	INTERACTS_WITH
C1QA	C1QB	INTERACTS_WITH
C1QA	C1QC	INTERACTS_WITH
C1QA	C1R	INTERACTS_WITH
C1QA	CSF1R	INTERACTS_WITH
C1QA	ITGAM	INTERACTS_WITH
C1QA	LAPTM5	INTERACTS_WITH
C1QA	P2RY12	INTERACTS_WITH
C1QA	TYROBP	INTERACTS_WITH
C1QB	C1QC	INTERACTS_WITH
C1QB	C1R	INTERACTS_WITH
C1QB	CSF1R	INTERACTS_WITH
C1QB	PTX3	INTERACTS_WITH
C1QB	TYROBP	INTERACTS_WITH
C1QC	C1R	INTERACTS_WITH
C1QC	CSF1R	INTERACTS_WITH
C1QC	TYROBP	INTERACTS_WITH
C1R	C3	INTERACTS_WITH
C3	C5AR2	INTERACTS_WITH
C3	CCL2	INTERACTS_WITH
C3	F12	INTERACTS_WITH
C3	F3	INTERACTS_WITH
C3	ITGAM	INTERACTS_WITH
C3	ITGAX	INTERACTS_WITH
C3	PTX3	INTERACTS_WITH
C3	TTR	INTERACTS_WITH
C7	CD34	INTERACTS_WITH
CA1	CA3	INTERACTS_WITH
CA1	STAT4	INTERACTS_WITH
CA3	CA4	INTERACTS_WITH
CA3	SLC2A5	INTERACTS_WITH
CA4	PKD2L1	INTERACTS_WITH
CA4	PRSS12	INTERACTS_WITH
CA4	SLC4A4	INTERACTS_WITH
CACNA2D2	CAMK2A	INTERACTS_WITH
CACNG5	GRIA1	INTERACTS_WITH
CACNG5	GRIN2C	INTERACTS_WITH
CACNG5	GRIN2D	INTERACTS_WITH
CACNG5	GRIN3A	INTERACTS_WITH
CALB1	GAD1	INTERACTS_WITH
CALB1	GAD2	INTERACTS_WITH
CALB1	GFAP	INTERACTS_WITH
CALB1	PVALB	INTERACTS_WITH
CALB1	S100A6	INTERACTS_WITH
CALB1	SLC17A6	INTERACTS_WITH
CALB1	SLC17A7	INTERACTS_WITH
CALB1	SST	INTERACTS_WITH
CALB2	DLX1	INTERACTS_WITH
CALB2	GAD1	INTERACTS_WITH
CALB2	GAD2	INTERACTS_WITH
CALB2	GFAP	INTERACTS_WITH
CALB2	LHX6	INTERACTS_WITH
CALB2	PVALB	INTERACTS_WITH
CALB2	SLC17A6	INTERACTS_WITH
CALB2	SST	INTERACTS_WITH
CALB2	TBR1	INTERACTS_WITH
CALB2	VIP	INTERACTS_WITH
CAMK2A	CDC25C	INTERACTS_WITH
CAMK2A	CYBB	INTERACTS_WITH
CAMK2A	EGR1	INTERACTS_WITH
CAMK2A	FLNA	INTERACTS_WITH
CAMK2A	GRIA1	INTERACTS_WITH
CAMK2A	GRIN2C	INTERACTS_WITH
CAMK2A	GRM1	INTERACTS_WITH
CAMK2A	NOS1	INTERACTS_WITH
CAMK2A	PDE10A	INTERACTS_WITH
CAMK2A	PVALB	INTERACTS_WITH
CAMK2A	SCN4B	INTERACTS_WITH
CAMK2A	SCN5A	INTERACTS_WITH
CAPN3	MYPN	INTERACTS_WITH
CAPN3	RYR1	INTERACTS_WITH
CAPN3	SGCG	INTERACTS_WITH
CARMIL2	TTK	INTERACTS_WITH
CARNS1	CNDP1	INTERACTS_WITH
CARNS1	GAD1	INTERACTS_WITH
CARNS1	GAD2	INTERACTS_WITH
CASQ2	PLN	INTERACTS_WITH
CASQ2	RYR1	INTERACTS_WITH
CASQ2	SCN5A	INTERACTS_WITH
CASQ2	TRDN	INTERACTS_WITH
CASR	FLNA	INTERACTS_WITH
CASR	GRM1	INTERACTS_WITH
CASR	PTHLH	INTERACTS_WITH
CATSPERB	CATSPERD	INTERACTS_WITH
CATSPERB	RYR1	INTERACTS_WITH
CATSPERD	RYR1	INTERACTS_WITH
CAV1	CAV2	INTERACTS_WITH
CAV1	CAVIN1	INTERACTS_WITH
CAV1	CAVIN3	INTERACTS_WITH
CAV1	CD36	INTERACTS_WITH
CAV1	CDH5	INTERACTS_WITH
CAV1	CLDN5	INTERACTS_WITH
CAV1	CXCR4	INTERACTS_WITH
CAV1	DLC1	INTERACTS_WITH
CAV1	DPP4	INTERACTS_WITH
CAV1	EHD2	INTERACTS_WITH
CAV1	FLNA	INTERACTS_WITH
CAV1	GJA1	INTERACTS_WITH
CAV1	IGF1	INTERACTS_WITH
CAV1	ITGB4	INTERACTS_WITH
CAV1	NOSTRIN	INTERACTS_WITH
CAV1	RND3	INTERACTS_WITH
CAV1	SCN5A	INTERACTS_WITH
CAV1	TRPV4	INTERACTS_WITH
CAV2	CAVIN1	INTERACTS_WITH
CAV2	ITGB4	INTERACTS_WITH
CAVIN1	CAVIN3	INTERACTS_WITH
CAVIN1	EHD2	INTERACTS_WITH
CBLN2	GRID2	INTERACTS_WITH
CCK	CCKBR	INTERACTS_WITH
CCK	CRH	INTERACTS_WITH
CCK	GRP	INTERACTS_WITH
CCK	OPRM1	INTERACTS_WITH
CCK	PDYN	INTERACTS_WITH
CCK	PVALB	INTERACTS_WITH
CCK	SST	INTERACTS_WITH
CCK	TAC1	INTERACTS_WITH
CCK	TAC3	INTERACTS_WITH
CCK	VIP	INTERACTS_WITH
CCKBR	GRP	INTERACTS_WITH
CCL2	CD44	INTERACTS_WITH
CCL2	CD86	INTERACTS_WITH
CCL2	CSF1	INTERACTS_WITH
CCL2	CSF1R	INTERACTS_WITH
CCL2	CX3CR1	INTERACTS_WITH
CCL2	CXCR4	INTERACTS_WITH
CCL2	DPP4	INTERACTS_WITH
CCL2	EDN1	INTERACTS_WITH
CCL2	FLT1	INTERACTS_WITH
CCL2	IGF1	INTERACTS_WITH
CCL2	IL15	INTERACTS_WITH
CCL2	IL33	INTERACTS_WITH
CCL2	ITGAM	INTERACTS_WITH
CCL2	ITGAX	INTERACTS_WITH
CCL2	MMP2	INTERACTS_WITH
CCL2	SOCS3	INTERACTS_WITH
CCL2	TLR2	INTERACTS_WITH
CCN3	VWF	INTERACTS_WITH
CCNB1	CCNB2	INTERACTS_WITH
CCNB1	CDC20	INTERACTS_WITH
CCNB1	CDC25C	INTERACTS_WITH
CCNB1	CDC45	INTERACTS_WITH
CCNB1	CDCA2	INTERACTS_WITH
CCNB1	CDCA5	INTERACTS_WITH
CCNB1	CDK1	INTERACTS_WITH
CCNB1	CENPF	INTERACTS_WITH
CCNB1	CENPH	INTERACTS_WITH
CCNB1	CENPM	INTERACTS_WITH
CCNB1	CENPU	INTERACTS_WITH
CCNB1	CEP55	INTERACTS_WITH
CCNB1	CKS1B	INTERACTS_WITH
CCNB1	CKS2	INTERACTS_WITH
CCNB1	DLGAP5	INTERACTS_WITH
CCNB1	EXO1	INTERACTS_WITH
CCNB1	GADD45G	INTERACTS_WITH
CCNB1	GTSE1	INTERACTS_WITH
CCNB1	H1-1	INTERACTS_WITH
CCNB1	HJURP	INTERACTS_WITH
CCNB1	KIF14	INTERACTS_WITH
CCNB1	KIFC1	INTERACTS_WITH
CCNB1	KNL1	INTERACTS_WITH
CCNB1	KPNA2	INTERACTS_WITH
CCNB1	MAD2L1	INTERACTS_WITH
CCNB1	MCM10	INTERACTS_WITH
CCNB1	MELK	INTERACTS_WITH
CCNB1	MKI67	INTERACTS_WITH
CCNB1	MYBL2	INTERACTS_WITH
CCNB1	NCAPG	INTERACTS_WITH
CCNB1	NDC80	INTERACTS_WITH
CCNB1	NUSAP1	INTERACTS_WITH
CCNB1	PBK	INTERACTS_WITH
CCNB1	PTTG1	INTERACTS_WITH
CCNB1	RGCC	INTERACTS_WITH
CCNB1	RRM2	INTERACTS_WITH
CCNB1	SGO1	INTERACTS_WITH
CCNB1	TOP2A	INTERACTS_WITH
CCNB1	TPX2	INTERACTS_WITH
CCNB1	TTK	INTERACTS_WITH
CCNB1	TYMS	INTERACTS_WITH
CCNB1	UBE2C	INTERACTS_WITH
CCNB2	CDC20	INTERACTS_WITH
CCNB2	CDC25C	INTERACTS_WITH
CCNB2	CDC45	INTERACTS_WITH
CCNB2	CDCA2	INTERACTS_WITH
CCNB2	CDCA5	INTERACTS_WITH
CCNB2	CDK1	INTERACTS_WITH
CCNB2	CENPF	INTERACTS_WITH
CCNB2	CENPH	INTERACTS_WITH
CCNB2	CENPM	INTERACTS_WITH
CCNB2	CENPU	INTERACTS_WITH
CCNB2	CEP55	INTERACTS_WITH
CCNB2	CKAP2L	INTERACTS_WITH
CCNB2	CKS1B	INTERACTS_WITH
CCNB2	CKS2	INTERACTS_WITH
CCNB2	DLGAP5	INTERACTS_WITH
CCNB2	EXO1	INTERACTS_WITH
CCNB2	GADD45G	INTERACTS_WITH
CCNB2	GINS2	INTERACTS_WITH
CCNB2	GTSE1	INTERACTS_WITH
CCNB2	HJURP	INTERACTS_WITH
CCNB2	KIFC1	INTERACTS_WITH
CCNB2	KNL1	INTERACTS_WITH
CCNB2	KPNA2	INTERACTS_WITH
CCNB2	MAD2L1	INTERACTS_WITH
CCNB2	MCM2	INTERACTS_WITH
CCNB2	MCM5	INTERACTS_WITH
