Gene,Distance,boxcox-transformed distance,Z,FC,p-value,adjusted p-value
RPL10A,7.3869586e-08,-14.618045806884766,0.5028281860227826,0.840005,0.35939534638074755,1.0
PELI2,7.3868584e-08,-14.618056297302246,0.5028062065277654,0.83998215,0.3594018754109659,1.0
LAT2,7.38505e-08,-14.61824893951416,0.5024025830738131,0.83957094,0.3595195111513563,1.0
TAF1D,7.3787156e-08,-14.618926048278809,0.5009839065772482,0.8381313,0.35993176495409873,1.0
FBXL17,7.376932e-08,-14.61911678314209,0.5005842793951173,0.8377262,0.36004789644116264,1.0
STK17A,7.375053e-08,-14.619318008422852,0.5001626727179691,0.8372994,0.36017028586275324,1.0
LMBR1,7.3745106e-08,-14.619376182556152,0.5000407864274191,0.8371763,0.36020559457701307,1.0
RANBP9,7.3743514e-08,-14.619392395019531,0.500006818116938,0.8371402,0.36021595726454725,1.0
CYTH1,7.3737866e-08,-14.619453430175781,0.4998789374186561,0.8370119,0.3602527771974767,1.0
DAAM1,7.373048e-08,-14.619532585144043,0.49971309213807175,0.8368443,0.36030085784569665,1.0
ZEB1,7.372495e-08,-14.61959171295166,0.49958920771161114,0.8367187,0.36033691985716143,1.0
TBC1D5,7.369389e-08,-14.61992359161377,0.4988938564147033,0.83601385,0.3605393049198451,1.0
RPL29,7.363537e-08,-14.620550155639648,0.4975810811214031,0.8346866,0.36092084762526633,1.0
FTCDNL1,7.36264e-08,-14.620646476745605,0.49737926939442695,0.8344834,0.36097930698627756,1.0
YWHAE,7.361191e-08,-14.62080192565918,0.4970535732409902,0.8341548,0.36107387450404727,1.0
MFSD14CP,7.360477e-08,-14.620878219604492,0.49689372236813784,0.83399296,0.3611204589469914,1.0
ADAM28,7.357766e-08,-14.621169090270996,0.4962842909153881,0.83337885,0.36129731505334584,1.0
RPS16,7.3547035e-08,-14.62149715423584,0.49559693216212286,0.83268523,0.3614972136559993,1.0
PDLIM5,7.351708e-08,-14.621818542480469,0.4949235603602322,0.83200705,0.3616928107787678,1.0
TNRC6B,7.3507636e-08,-14.621919631958008,0.4947117579537028,0.8317933,0.3617544873211612,1.0
SUGP2,7.3479335e-08,-14.622222900390625,0.49407635073411454,0.8311529,0.3619393630873341,1.0
CUL5,7.343982e-08,-14.622647285461426,0.4931871802538732,0.83025926,0.3621975709759053,1.0
NEMF,7.342995e-08,-14.622753143310547,0.4929653871677905,0.8300361,0.36226208944478966,1.0
FRMD4B,7.341231e-08,-14.622942924499512,0.4925677581215702,0.8296373,0.3623774316202423,1.0
RNF2,7.3408025e-08,-14.6229887008667,0.4924718475978588,0.8295405,0.36240543444179385,1.0
RAP1GDS1,7.337507e-08,-14.623343467712402,0.4917285410390952,0.8287958,0.36262096994287696,1.0
CASD1,7.337496e-08,-14.623344421386719,0.4917265429031845,0.8287934,0.3626216602720781,1.0
RYR1,7.3349106e-08,-14.623621940612793,0.49114508535318396,0.82820946,0.36279079385833624,1.0
FUS,7.328598e-08,-14.624300956726074,0.48972241258479776,0.8267845,0.3632039777961247,1.0
PAPOLA,7.3208994e-08,-14.625130653381348,0.4879840343425281,0.8250483,0.3637082760047232,1.0
GNG7,7.320613e-08,-14.625161170959473,0.48792009399338715,0.8249838,0.36372704484628415,1.0
ZNF609,7.320252e-08,-14.625200271606445,0.4878381704210503,0.8249024,0.3637507027744291,1.0
LUC7L2,7.315672e-08,-14.625693321228027,0.4868051341552418,0.82387054,0.364050936013957,1.0
NCOA3,7.313962e-08,-14.62587833404541,0.48641749578857474,0.8234853,0.3641631084696838,1.0
KDM4C,7.313118e-08,-14.625968933105469,0.48622767287706253,0.8232954,0.36421842260228177,1.0
RCC2,7.310835e-08,-14.626214981079102,0.4857121538121136,0.8227815,0.3643681728683158,1.0
STK4,7.303051e-08,-14.627055168151855,0.4839517960748267,0.8210304,0.3648790795955794,1.0
CHMP3,7.297485e-08,-14.627656936645508,0.4826909723152035,0.8197793,0.365244707990518,1.0
NOL10,7.296782e-08,-14.627732276916504,0.48253311957826184,0.8196214,0.3652908874567513,1.0
BOD1L1,7.2928614e-08,-14.628156661987305,0.48164394909802044,0.81874084,0.36554857060088386,1.0
NIPBL,7.290593e-08,-14.628401756286621,0.48113042816898216,0.81823146,0.3656977522449508,1.0
LINC01473,7.290408e-08,-14.628421783447266,0.4810884673148584,0.81819,0.3657099055563583,1.0
IRF2,7.289837e-08,-14.628483772277832,0.48095858848066586,0.81806177,0.365747469116007,1.0
RYK,7.2885825e-08,-14.628619194030762,0.48067485318135283,0.8177804,0.36582993212361503,1.0
L3MBTL4,7.287879e-08,-14.628695487976074,0.48051500230850047,0.8176225,0.3658762142326796,1.0
MRPS31,7.285603e-08,-14.628941535949707,0.4799994832435515,0.8171119,0.3660259310601933,1.0
VPS13C,7.282716e-08,-14.629254341125488,0.4793440946648568,0.8164644,0.3662159172132483,1.0
COMMD1,7.2819695e-08,-14.629335403442383,0.4791742531124511,0.81629705,0.3662650493977804,1.0
UQCRC2,7.279455e-08,-14.629607200622559,0.4786047843779145,0.8157333,0.36643060539793926,1.0
NCOA7,7.278082e-08,-14.629755973815918,0.47829307517585234,0.81542575,0.36652097156670194,1.0
GDI2,7.277545e-08,-14.629814147949219,0.4781711888853024,0.8153054,0.3665563383787902,1.0
TFEC,7.2769886e-08,-14.629875183105469,0.4780433081870205,0.8151807,0.3665929889300852,1.0
PRAG1,7.275489e-08,-14.630037307739258,0.47770362508220915,0.8148447,0.3666917710291173,1.0
TNFRSF1A,7.2726145e-08,-14.630349159240723,0.47705023463942503,0.81420106,0.36688111465082685,1.0
HUWE1,7.271216e-08,-14.630500793457031,0.4767325310296309,0.81388795,0.36697326690884535,1.0
GMDS-DT,7.268096e-08,-14.630839347839355,0.47602319278134847,0.8131896,0.36717891406796854,1.0
RPL8,7.2655716e-08,-14.631113052368164,0.47544972777499056,0.8126248,0.36734536038257304,1.0
CHCHD3,7.2619216e-08,-14.631508827209473,0.4746205013720688,0.8118085,0.36758609895044847,1.0
UBA6,7.258469e-08,-14.631884574890137,0.4738332358232708,0.8110368,0.3678138904817343,1.0
MIA3,7.2539464e-08,-14.632375717163086,0.4728041958292836,0.81002647,0.3681124258787061,1.0
DISP1,7.249636e-08,-14.632843971252441,0.4718231110971521,0.8090641,0.3683970974221117,1.0
ZNF277,7.2431234e-08,-14.633553504943848,0.47033649797962496,0.8076111,0.3688274712320664,1.0
SLC15A2,7.238318e-08,-14.634076118469238,0.4692415195005861,0.80653983,0.3691452314322631,1.0
DPYD,7.2374e-08,-14.634176254272461,0.46903171522996734,0.8063353,0.36920595207917983,1.0
HLA-DRA,7.2353956e-08,-14.634394645690918,0.4685741421064274,0.8058887,0.36933855260928117,1.0
DOCK11,7.235359e-08,-14.634398460388184,0.4685661495627848,0.80588067,0.3693409425759778,1.0
TM6SF1,7.227641e-08,-14.63524055480957,0.4668017955536766,0.80416214,0.3698518628735069,1.0
CUEDC1,7.227224e-08,-14.635285377502441,0.4667078831658758,0.80406946,0.369879446396723,1.0
MARCKS,7.221754e-08,-14.635883331298828,0.4654550519498953,0.8028527,0.3702418283474528,1.0
RFC3,7.220541e-08,-14.636014938354492,0.4651793091942249,0.80258304,0.37032220378221803,1.0
AGTPBP1,7.2142456e-08,-14.636703491210938,0.4637366550667322,0.8011841,0.37073957343234853,1.0
RPS27,7.209982e-08,-14.637168884277344,0.4627615647423326,0.8002375,0.3710223773437843,1.0
RALGAPB,7.2095055e-08,-14.637221336364746,0.4626516672672466,0.8001317,0.3710540027101994,1.0
ABHD3,7.208498e-08,-14.63733196258545,0.4624198835016106,0.79990804,0.37112086488704454,1.0
PMS1,7.2081455e-08,-14.637370109558105,0.46233995806518446,0.79982984,0.3711442492344619,1.0
EEPD1,7.206097e-08,-14.637594223022461,0.4618703961261806,0.7993753,0.37128021150130786,1.0
GALNT10,7.205209e-08,-14.637691497802734,0.46166658626329377,0.79917824,0.37133917505905756,1.0
ZMAT1,7.20397e-08,-14.637826919555664,0.4613828509639808,0.7989034,0.37142143555058804,1.0
FAM13B,7.197725e-08,-14.638510704040527,0.45995018751604133,0.7975189,0.3718362117338665,1.0
FOXP1,7.187451e-08,-14.639636993408203,0.457590389005558,0.7952438,0.37251921057580306,1.0
FOXO3,7.18365e-08,-14.640053749084473,0.4567172036126019,0.79440296,0.372772079722304,1.0
PPHLN1,7.182728e-08,-14.640154838562012,0.4565054012060724,0.79419905,0.37283343761262255,1.0
LARGE1,7.179192e-08,-14.640543937683105,0.45569016175452526,0.79341733,0.37306879478662813,1.0
KLHDC10,7.1743685e-08,-14.641073226928711,0.45458119632411187,0.7923515,0.37339003410963,1.0
PAFAH1B1,7.173197e-08,-14.641201972961426,0.45431144797617345,0.7920927,0.37346809395382696,1.0
TPT1,7.169259e-08,-14.641634941101074,0.4534042942727362,0.7912232,0.37373050435836175,1.0
WDFY4,7.1676354e-08,-14.641813278198242,0.45303064285744377,0.79086494,0.3738387133918113,1.0
PLD1,7.1661894e-08,-14.641972541809082,0.4526969541603644,0.7905459,0.3739351141750549,1.0
IREB2,7.164162e-08,-14.642195701599121,0.45222939035727117,0.79009867,0.37407029239137457,1.0
DNAJB6,7.162717e-08,-14.642354965209961,0.45189570166019183,0.7897799,0.3741666867415814,1.0
RIF1,7.16066e-08,-14.64258098602295,0.45142214344936665,0.78932637,0.3743038942239325,1.0
OLR1,7.159267e-08,-14.64273452758789,0.4511004435677512,0.78901935,0.37439681844824524,1.0
CARD8,7.157999e-08,-14.642874717712402,0.45080671758888496,0.78873986,0.3744814363033544,1.0
CKLF,7.152224e-08,-14.643510818481445,0.44947396093647823,0.7874676,0.37486696805233977,1.0
DIPK1A,7.15066e-08,-14.643683433532715,0.4491122983366497,0.78712326,0.37497140751910507,1.0
SLA,7.1493346e-08,-14.643829345703125,0.4488065835423195,0.78683156,0.375059915621902,1.0
ZNF33A,7.148346e-08,-14.643938064575195,0.44857879604850487,0.786614,0.3751259450434481,1.0
TM2D1,7.148161e-08,-14.643959045410156,0.44853483705847047,0.7865732,0.3751383386845043,1.0
SECISBP2L,7.1481395e-08,-14.643960952758789,0.4485308407866492,0.7865685,0.37513974996766764,1.0
THRAP3,7.147713e-08,-14.644007682800293,0.44843293212702706,0.7864747,0.375168230530603,1.0
ARSB,7.1432446e-08,-14.644500732421875,0.44739989586121853,0.7854916,0.3754668619571653,1.0
CPED1,7.14212e-08,-14.644625663757324,0.44713814005692276,0.7852442,0.3755420521537025,1.0
OPA1,7.140438e-08,-14.644810676574707,0.4467505016902557,0.78487444,0.37565449640463855,1.0
PACSIN2,7.133903e-08,-14.645532608032227,0.44523791280589003,0.7834385,0.3760915818010582,1.0
NABP1,7.1329225e-08,-14.645641326904297,0.4450101253120754,0.78322315,0.37615719442345386,1.0
SLC1A3-AS1,7.1315384e-08,-14.645793914794922,0.4446904235663706,0.7829192,0.3762498204030186,1.0
MCM9,7.1265475e-08,-14.646346092224121,0.4435335028741015,0.7818238,0.37658393244535815,1.0
DNAJC1,7.125475e-08,-14.646464347839355,0.4432857340211803,0.78158855,0.37665574331455054,1.0
KSR1,7.115445e-08,-14.647575378417969,0.4409579056852675,0.77938974,0.3773278442685055,1.0
GLG1,7.1153934e-08,-14.647581100463867,0.44094591686980356,0.77937835,0.37733132849746187,1.0
RFX3,7.113388e-08,-14.64780330657959,0.44048035120262097,0.7789391,0.37746578864679814,1.0
POLA1,7.110263e-08,-14.648149490356445,0.4397550278670533,0.7782549,0.37767537725660627,1.0
HNRNPDL,7.10809e-08,-14.648390769958496,0.43924949948165765,0.77777916,0.3778212127018582,1.0
TBC1D15,7.1025205e-08,-14.649008750915527,0.4379547074115533,0.77656084,0.3781950243089073,1.0
RPS27A,7.095382e-08,-14.649801254272461,0.4362942564697992,0.7750006,0.37867451701958743,1.0
MT-ND2,7.0948246e-08,-14.649863243103027,0.4361643776356066,0.7748789,0.37871193869087205,1.0
