Gene,Distance,boxcox-transformed distance,Z,FC,p-value,adjusted p-value
TNFRSF10B,2.6377563e-08,-34.97368240356445,-1.4518196364341849,0.108456865,0.7419078589498674,0.8227884274606623
CHIC1,2.6376703e-08,-34.97379684448242,-1.4518821600421585,0.108449794,0.7419159721952095,0.8224934734236512
ANAPC5,2.6337256e-08,-34.97907257080078,-1.4547644983697445,0.10812566,0.7422882228666765,0.8226022735682779
RHBDF2,2.6308943e-08,-34.98286437988281,-1.4568361139139385,0.107893296,0.7425554551737151,0.8225946552145881
COPB1,2.6280011e-08,-34.98674392700195,-1.4589556642242458,0.107656136,0.7428285346810672,0.8225935175564143
OSTF1,2.6268673e-08,-34.98826599121094,-1.4597872282102957,0.107563265,0.7429355632247016,0.8224085670370084
ZC3H12C,2.6265827e-08,-34.9886474609375,-1.4599956402368746,0.10753996,0.7429624292816026,0.8221350480361688
TENT4A,2.6260494e-08,-34.98936080932617,-1.460385370726577,0.10749629,0.7430127774644438,0.8218877055550299
SWAP70,2.6248934e-08,-34.99091339111328,-1.4612336076747532,0.10740167,0.743121914088759,0.8217055505454554
MLXIPL,2.6242871e-08,-34.991729736328125,-1.461679609411632,0.10735206,0.743179150451117,0.8214661622481776
PAQR3,2.6242784e-08,-34.99174118041992,-1.4616858617724293,0.10735135,0.7431799758346785,0.8211646198379494
STAT6,2.6228564e-08,-34.99365234375,-1.4627300060255897,0.10723504,0.7433142357656505,0.8210106814621704
TENT2,2.6213534e-08,-34.99567413330078,-1.4638345897664577,0.107112184,0.7434561343737701,0.8208652903810464
LENG8,2.621333e-08,-34.99570083618164,-1.4638491786083183,0.107110515,0.7434580626600946,0.820565518956581
JAM2,2.6192817e-08,-34.99846267700195,-1.4653580816807494,0.10694294,0.7436517680097707,0.8204775572784272
CPQ,2.617463e-08,-35.000911712646484,-1.4666960868913859,0.106794484,0.7438235062510936,0.8203654326569393
GOLPH3L,2.6159272e-08,-35.00298309326172,-1.4678277641957092,0.106669195,0.743968550121469,0.8202239599245146
PHACTR2,2.6147548e-08,-35.00456237792969,-1.4686905899857459,0.106573604,0.7440792767608075,0.8200447703118559
CLEC2D,2.6131417e-08,-35.00674057006836,-1.4698806226575114,0.106442146,0.7442316394056848,0.8199115821793173
KDM7A,2.6122372e-08,-35.00796127319336,-1.4705475411425637,0.106368475,0.7443170715636906,0.819704782298215
C1QA,2.6109408e-08,-35.00971221923828,-1.471504152344561,0.106262915,0.7444395399216441,0.8195389065681783
RABGAP1,2.6094563e-08,-35.01171875,-1.4726003996043657,0.106142126,0.7445797592235788,0.8193926869930178
